,airport_id,Name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,TzDatabase,Type,Source
3298,3497,Garden City Regional Airport,Garden City,United States,GCK,KGCK,37.9275016785,-100.72399902299999,2891,-6,A,America/Chicago,airport,OurAirports
3299,3498,Minot International Airport,Minot,United States,MOT,KMOT,48.2593994140625,-101.27999877929688,1716,-6,A,America/Chicago,airport,OurAirports
3303,3502,Dallas Love Field,Dallas,United States,DAL,KDAL,32.847099,-96.851799,487,-6,A,America/Chicago,airport,OurAirports
3305,3504,Helena Regional Airport,Helena,United States,HLN,KHLN,46.6068000793457,-111.98300170898438,3877,-7,A,America/Denver,airport,OurAirports
3314,3513,Lake Charles Regional Airport,Lake Charles,United States,LCH,KLCH,30.12610054016113,-93.22329711914062,15,-6,A,America/Chicago,airport,OurAirports
3315,3514,Ellison Onizuka Kona International At Keahole Airport,Kona,United States,KOA,PHKO,19.738782999999998,-156.045603,47,-10,N,Pacific/Honolulu,airport,OurAirports
3316,3515,Myrtle Beach International Airport,Myrtle Beach,United States,MYR,KMYR,33.6796989441,-78.9282989502,25,-5,A,America/New_York,airport,OurAirports
3318,3517,Nantucket Memorial Airport,Nantucket,United States,ACK,KACK,41.25310135,-70.06020355,47,-5,A,America/New_York,airport,OurAirports
3321,3520,Ronald Reagan Washington National Airport,Washington,United States,DCA,KDCA,38.8521,-77.037697,15,-5,A,America/New_York,airport,OurAirports
3325,3524,Atlantic City International Airport,Atlantic City,United States,ACY,KACY,39.45759963989258,-74.57720184326172,75,-5,A,America/New_York,airport,OurAirports
3328,3527,Pueblo Memorial Airport,Pueblo,United States,PUB,KPUB,38.289100646972656,-104.49700164794922,4726,-7,A,America/Denver,airport,OurAirports
3329,3528,Northern Maine Regional Airport at Presque Isle,Presque Isle,United States,PQI,KPQI,46.68899918,-68.0447998,534,-5,A,America/New_York,airport,OurAirports
3331,3531,Kodiak Airport,Kodiak,United States,ADQ,PADQ,57.75,-152.4940033,78,-9,A,America/Anchorage,airport,OurAirports
3333,3533,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,FLL,KFLL,26.072599,-80.152702,9,-5,A,America/New_York,airport,OurAirports
3335,3535,Falls International Airport,International Falls,United States,INL,KINL,48.566200256347656,-93.4030990600586,1185,-6,A,America/Chicago,airport,OurAirports
3336,3536,Salt Lake City International Airport,Salt Lake City,United States,SLC,KSLC,40.78839874267578,-111.97799682617188,4227,-7,A,America/Denver,airport,OurAirports
3342,3542,Harrisburg International Airport,Harrisburg,United States,MDT,KMDT,40.1935005188,-76.7633972168,310,-5,A,America/New_York,airport,OurAirports
3343,3543,Lincoln Airport,Lincoln,United States,LNK,KLNK,40.85100173950195,-96.75920104980469,1219,-6,A,America/Chicago,airport,OurAirports
3344,3544,Capital City Airport,Lansing,United States,LAN,KLAN,42.77870178222656,-84.58740234375,861,-5,A,America/New_York,airport,OurAirports
3345,3545,Waimea Kohala Airport,Kamuela,United States,MUE,PHMU,20.001300811767575,-155.66799926757812,2671,-10,A,Pacific/Honolulu,airport,OurAirports
3346,3546,Massena International Richards Field,Massena,United States,MSS,KMSS,44.93579864501953,-74.84559631347656,215,-5,A,America/New_York,airport,OurAirports
3350,3550,George Bush Intercontinental Houston Airport,Houston,United States,IAH,KIAH,29.98439979553223,-95.34140014648438,97,-6,A,America/Chicago,airport,OurAirports
3358,3558,Meadows Field,Bakersfield,United States,BFL,KBFL,35.43360138,-119.0569992,510,-8,A,America/Los_Angeles,airport,OurAirports
3359,3559,El Paso International Airport,El Paso,United States,ELP,KELP,31.80719948,-106.37799840000002,3959,-7,A,America/Denver,airport,OurAirports
3360,3560,Valley International Airport,Harlingen,United States,HRL,KHRL,26.228500366210934,-97.65440368652344,36,-6,A,America/Chicago,airport,OurAirports
3361,3561,Columbia Metropolitan Airport,Columbia,United States,CAE,KCAE,33.93880081176758,-81.11949920654297,236,-5,A,America/New_York,airport,OurAirports
3364,3564,Pensacola Regional Airport,Pensacola,United States,PNS,KPNS,30.473400115967003,-87.18659973144501,121,-6,A,America/Chicago,airport,OurAirports
3366,3566,William P Hobby Airport,Houston,United States,HOU,KHOU,29.64539909,-95.27890015,46,-6,A,America/Chicago,airport,OurAirports
3370,3570,Pittsburgh International Airport,Pittsburgh,United States,PIT,KPIT,40.49150085,-80.23290253,1203,-5,A,America/New_York,airport,OurAirports
3371,3571,Wiley Post Will Rogers Memorial Airport,Barrow,United States,BRW,PABR,71.285402,-156.766008,44,-9,A,America/Anchorage,airport,OurAirports
3376,3576,Miami International Airport,Miami,United States,MIA,KMIA,25.79319953918457,-80.29060363769531,8,-5,A,America/New_York,airport,OurAirports
3377,3577,Seattle Tacoma International Airport,Seattle,United States,SEA,KSEA,47.449001,-122.308998,433,-8,A,America/Los_Angeles,airport,OurAirports
3378,3578,Lovell Field,Chattanooga,United States,CHA,KCHA,35.03530120849609,-85.20379638671875,683,-5,A,America/New_York,airport,OurAirports
3380,3580,Jackson-Medgar Wiley Evers International Airport,Jackson,United States,JAN,KJAN,32.3111991882,-90.0758972168,346,-6,A,America/Chicago,airport,OurAirports
3382,3582,Long Beach /Daugherty Field/ Airport,Long Beach,United States,LGB,KLGB,33.81769943,-118.15200039999999,60,-8,A,America/Los_Angeles,airport,OurAirports
3384,3584,Williamsport Regional Airport,Williamsport,United States,IPT,KIPT,41.241798400878906,-76.92109680175781,529,-5,A,America/New_York,airport,OurAirports
3385,3585,Indianapolis International Airport,Indianapolis,United States,IND,KIND,39.7173,-86.294403,797,-5,A,America/New_York,airport,OurAirports
3389,3589,Westchester County Airport,White Plains,United States,HPN,KHPN,41.06700134277344,-73.70760345458984,439,-5,A,America/New_York,airport,OurAirports
3391,3591,Jonesboro Municipal Airport,Jonesboro,United States,JBR,KJBR,35.83169937133789,-90.64640045166016,262,-6,A,America/Chicago,airport,OurAirports
3396,3596,Yuma MCAS/Yuma International Airport,Yuma,United States,YUM,KNYL,32.65660095,-114.6060028,213,-7,N,America/Phoenix,airport,OurAirports
3397,3597,Cavern City Air Terminal,Carlsbad,United States,CNM,KCNM,32.337501525878906,-104.26300048828124,3295,-7,A,America/Denver,airport,OurAirports
3398,3598,Duluth International Airport,Duluth,United States,DLH,KDLH,46.8420982361,-92.19360351559999,1428,-6,A,America/Chicago,airport,OurAirports
3399,3599,Bethel Airport,Bethel,United States,BET,PABE,60.77980042,-161.8379974,126,-9,A,America/Anchorage,airport,OurAirports
3402,3602,Lihue Airport,Lihue,United States,LIH,PHLI,21.97599983215332,-159.33900451660156,153,-10,N,Pacific/Honolulu,airport,OurAirports
3404,3604,Havre City County Airport,Havre,United States,HVR,KHVR,48.54299927,-109.762001,2591,-7,A,America/Denver,airport,OurAirports
3408,3608,Richmond International Airport,Richmond,United States,RIC,KRIC,37.50519943237305,-77.3197021484375,167,-5,A,America/New_York,airport,OurAirports
3409,3609,Shreveport Regional Airport,Shreveport,United States,SHV,KSHV,32.446602,-93.8256,258,-6,A,America/Chicago,airport,OurAirports
3410,3610,Merle K (Mudhole) Smith Airport,Cordova,United States,CDV,PACV,60.49179839999999,-145.4779968,54,-9,A,America/Anchorage,airport,OurAirports
3411,3611,Norfolk International Airport,Norfolk,United States,ORF,KORF,36.89459991455078,-76.20120239257812,26,-5,A,America/New_York,airport,OurAirports
3412,3612,Southeast Texas Regional Airport,Beaumont,United States,BPT,KBPT,29.9507999420166,-94.02069854736328,15,-6,A,America/Chicago,airport,OurAirports
3413,3613,Savannah Hilton Head International Airport,Savannah,United States,SAV,KSAV,32.12760162,-81.20210266,50,-5,A,America/New_York,airport,OurAirports
3415,3615,Nome Airport,Nome,United States,OME,PAOM,64.51219940185547,-165.44500732421875,37,-9,A,America/Anchorage,airport,OurAirports
3417,3617,St Petersburg Clearwater International Airport,St. Petersburg,United States,PIE,KPIE,27.91020012,-82.68740082,11,-5,A,America/New_York,airport,OurAirports
3420,3620,Deadhorse Airport,Deadhorse,United States,SCC,PASC,70.19470215,-148.46499630000002,65,-9,A,America/Anchorage,airport,OurAirports
3421,3621,San Antonio International Airport,San Antonio,United States,SAT,KSAT,29.533700942993164,-98.46980285644531,809,-6,A,America/Chicago,airport,OurAirports
3422,3622,Greater Rochester International Airport,Rochester,United States,ROC,KROC,43.118900299072266,-77.67240142822266,559,-5,A,America/New_York,airport,OurAirports
3424,3624,Teterboro Airport,Teterboro,United States,TEB,KTEB,40.85010147089999,-74.060798645,9,-5,A,America/New_York,airport,OurAirports
3426,3626,Raleigh Durham International Airport,Raleigh-durham,United States,RDU,KRDU,35.877601623535156,-78.7874984741211,435,-5,A,America/New_York,airport,OurAirports
3427,3627,James M Cox Dayton International Airport,Dayton,United States,DAY,KDAY,39.90240097045898,-84.21939849853516,1009,-5,A,America/New_York,airport,OurAirports
3428,3628,Kenai Municipal Airport,Kenai,United States,ENA,PAEN,60.57310104370117,-151.2449951171875,99,-9,A,America/Anchorage,airport,OurAirports
3430,3630,Niagara Falls International Airport,Niagara Falls,United States,IAG,KIAG,43.1072998046875,-78.94619750976562,589,-5,A,America/New_York,airport,OurAirports
3433,3633,Newport News Williamsburg International Airport,Newport News,United States,PHF,KPHF,37.13190079,-76.49299622,42,-5,A,America/New_York,airport,OurAirports
3436,3636,Tucson International Airport,Tucson,United States,TUS,KTUS,32.116100311279304,-110.94100189208984,2643,-7,N,America/Phoenix,airport,OurAirports
3441,3641,Theodore Francis Green State Airport,Providence,United States,PVD,KPVD,41.732601,-71.42040300000001,55,-5,A,America/New_York,airport,OurAirports
3442,3642,Salisbury Ocean City Wicomico Regional Airport,Salisbury,United States,SBY,KSBY,38.34049987792969,-75.51029968261719,52,-5,A,America/New_York,airport,OurAirports
3444,3644,Bob Hope Airport,Burbank,United States,BUR,KBUR,34.200698852539055,-118.35900115966795,778,-8,A,America/Los_Angeles,airport,OurAirports
3445,3645,Detroit Metropolitan Wayne County Airport,Detroit,United States,DTW,KDTW,42.212398529052734,-83.35340118408203,645,-5,A,America/New_York,airport,OurAirports
3446,3646,Tampa International Airport,Tampa,United States,TPA,KTPA,27.975500106811523,-82.533203125,26,-5,A,America/New_York,airport,OurAirports
3450,3650,Range Regional Airport,Hibbing,United States,HIB,KHIB,47.38660049,-92.83899689,1354,-6,A,America/Chicago,airport,OurAirports
3452,3652,Midland International Airport,Midland,United States,MAF,KMAF,31.9424991607666,-102.2020034790039,2871,-6,A,America/Chicago,airport,OurAirports
3453,3653,Austin Straubel International Airport,Green Bay,United States,GRB,KGRB,44.48509979248047,-88.12960052490234,695,-6,A,America/Chicago,airport,OurAirports
3458,3658,Augusta Regional At Bush Field,Bush Field,United States,AGS,KAGS,33.36989974975586,-81.9645004272461,144,-5,A,America/New_York,airport,OurAirports
3459,3659,Sloulin Field International Airport,Williston,United States,ISN,KISN,48.177898407,-103.64199829100001,1982,-6,A,America/Chicago,airport,OurAirports
3460,3660,Bill & Hillary Clinton National Airport/Adams Field,Little Rock,United States,LIT,KLIT,34.729400634799994,-92.22429656979999,262,-6,A,America/Chicago,airport,OurAirports
3461,3661,Stewart International Airport,Newburgh,United States,SWF,KSWF,41.50410079956055,-74.10479736328125,491,-5,A,America/New_York,airport,OurAirports
3464,3664,Homer Airport,Homer,United States,HOM,PAHO,59.64559936523438,-151.4770050048828,84,-9,A,America/Anchorage,airport,OurAirports
3465,3665,Waynesville-St. Robert Regional Forney field,Fort Leonardwood,United States,TBN,KTBN,37.74160004,-92.14070129,1159,-6,A,America/Chicago,airport,OurAirports
3470,3670,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,DFW,KDFW,32.896801,-97.038002,607,-6,A,America/Chicago,airport,OurAirports
3471,3671,Melbourne International Airport,Melbourne,United States,MLB,KMLB,28.10280036926269,-80.64530181884766,33,-5,A,America/New_York,airport,OurAirports
3473,3673,Austin Bergstrom International Airport,Austin,United States,AUS,KAUS,30.194499969482425,-97.6698989868164,542,-6,A,America/Chicago,airport,OurAirports
3474,3674,Rickenbacker International Airport,Columbus,United States,LCK,KLCK,39.813801,-82.927803,744,-5,A,America/New_York,airport,OurAirports
3475,3675,Sawyer International Airport,Gwinn,United States,MQT,KSAW,46.3535995483,-87.39540100100001,1221,-5,A,America/New_York,airport,OurAirports
3476,3676,McGhee Tyson Airport,Knoxville,United States,TYS,KTYS,35.81100082,-83.99400329999999,981,-5,A,America/New_York,airport,OurAirports
3478,3678,St Louis Lambert International Airport,St. Louis,United States,STL,KSTL,38.748697,-90.370003,618,-6,A,America/Chicago,airport,OurAirports
3480,3680,Sheppard Air Force Base-Wichita Falls Municipal Airport,Wichita Falls,United States,SPS,KSPS,33.9888,-98.49189799999999,1019,-6,A,America/Chicago,airport,OurAirports
3481,3681,Cincinnati Municipal Airport Lunken Field,Cincinnati,United States,LUK,KLUK,39.10329819,-84.41860199,483,-5,A,America/New_York,airport,OurAirports
3482,3682,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,ATL,KATL,33.6367,-84.428101,1026,-5,A,America/New_York,airport,OurAirports
3485,3685,Gerald R. Ford International Airport,Grand Rapids,United States,GRR,KGRR,42.88079834,-85.52279663,794,-5,A,America/New_York,airport,OurAirports
3487,3687,Fresno Yosemite International Airport,Fresno,United States,FAT,KFAT,36.77619934082031,-119.71800231933594,336,-8,A,America/Los_Angeles,airport,OurAirports
3489,3689,Imperial County Airport,Imperial,United States,IPL,KIPL,32.834201812699995,-115.57900238,-54,-8,A,America/Los_Angeles,airport,OurAirports
3490,3690,Nashville International Airport,Nashville,United States,BNA,KBNA,36.1245002746582,-86.6781997680664,599,-6,A,America/Chicago,airport,OurAirports
3491,3691,Laredo International Airport,Laredo,United States,LRD,KLRD,27.543800354003906,-99.46160125732422,508,-6,A,America/Chicago,airport,OurAirports
3493,3693,Ralph Wien Memorial Airport,Kotzebue,United States,OTZ,PAOT,66.88469696,-162.598999,14,-9,A,America/Anchorage,airport,OurAirports
3494,3694,Altoona Blair County Airport,Altoona,United States,AOO,KAOO,40.29639816,-78.31999969,1503,-5,A,America/New_York,airport,OurAirports
3496,3696,South Arkansas Regional At Goodwin Field,El Dorado,United States,ELD,KELD,33.22100067138672,-92.81330108642578,277,-6,A,America/Chicago,airport,OurAirports
3497,3697,La Guardia Airport,New York,United States,LGA,KLGA,40.77719879,-73.87259674,21,-5,A,America/New_York,airport,OurAirports
3498,3698,Tallahassee Regional Airport,Tallahassee,United States,TLH,KTLH,30.396499633789066,-84.35030364990234,81,-5,A,America/New_York,airport,OurAirports
3500,3700,Waco Regional Airport,Waco,United States,ACT,KACT,31.61129951477051,-97.23049926757812,516,-6,A,America/Chicago,airport,OurAirports
3501,3701,Augusta State Airport,Augusta,United States,AUG,KAUG,44.320598602299995,-69.7973022461,352,-5,A,America/New_York,airport,OurAirports
3504,3704,McKellar-Sipes Regional Airport,Jackson,United States,MKL,KMKL,35.599899,-88.915604,434,-6,A,America/Chicago,airport,OurAirports
3505,3705,Molokai Airport,Molokai,United States,MKK,PHMK,21.15290069580078,-157.0959930419922,454,-10,N,Pacific/Honolulu,airport,OurAirports
3508,3708,San Angelo Regional Mathis Field,San Angelo,United States,SJT,KSJT,31.35770034790039,-100.49600219726562,1919,-6,A,America/Chicago,airport,OurAirports
3510,3710,Chico Municipal Airport,Chico,United States,CIC,KCIC,39.79539871,-121.8580017,240,-8,A,America/Los_Angeles,airport,OurAirports
3511,3711,Burlington International Airport,Burlington,United States,BTV,KBTV,44.471900939899996,-73.15329742429998,335,-5,A,America/New_York,airport,OurAirports
3512,3712,Jacksonville International Airport,Jacksonville,United States,JAX,KJAX,30.49410057067871,-81.68789672851562,30,-5,A,America/New_York,airport,OurAirports
3513,3713,Durango La Plata County Airport,Durango,United States,DRO,KDRO,37.1515007019,-107.75399780299999,6685,-7,A,America/Denver,airport,OurAirports
3514,3714,Washington Dulles International Airport,Washington,United States,IAD,KIAD,38.94449997,-77.45580292,312,-5,A,America/New_York,airport,OurAirports
3515,3715,Easterwood Field,College Station,United States,CLL,KCLL,30.58860016,-96.36380005,320,-6,A,America/Chicago,airport,OurAirports
3517,3717,General Mitchell International Airport,Milwaukee,United States,MKE,KMKE,42.94720077514648,-87.89659881591797,723,-6,A,America/Chicago,airport,OurAirports
3518,3718,Abilene Regional Airport,Abilene,United States,ABI,KABI,32.4113006592,-99.68190002440001,1791,-6,A,America/Chicago,airport,OurAirports
3519,3719,Columbia Regional Airport,Columbia,United States,COU,KCOU,38.81809997558594,-92.21959686279295,889,-6,A,America/Chicago,airport,OurAirports
3520,3720,Portland International Airport,Portland,United States,PDX,KPDX,45.58869934,-122.59799960000001,31,-8,A,America/Los_Angeles,airport,OurAirports
3522,3722,Palm Beach International Airport,West Palm Beach,United States,PBI,KPBI,26.68320083618164,-80.09559631347656,19,-5,A,America/New_York,airport,OurAirports
3524,3724,Ogdensburg International Airport,Ogdensburg,United States,OGS,KOGS,44.681900024399994,-75.46549987790002,297,-5,A,America/New_York,airport,OurAirports
3526,3726,Boeing Field King County International Airport,Seattle,United States,BFI,KBFI,47.52999877929688,-122.302001953125,21,-8,A,America/Los_Angeles,airport,OurAirports
3528,3728,Daniel K Inouye International Airport,Honolulu,United States,HNL,PHNL,21.32062,-157.924228,13,-10,N,Pacific/Honolulu,airport,OurAirports
3529,3729,Des Moines International Airport,Des Moines,United States,DSM,KDSM,41.53400039672852,-93.66310119628906,958,-6,A,America/Chicago,airport,OurAirports
3530,3730,Coastal Carolina Regional Airport,New Bern,United States,EWN,KEWN,35.0730018616,-77.04290008539998,18,-5,A,America/New_York,airport,OurAirports
3531,3731,San Diego International Airport,San Diego,United States,SAN,KSAN,32.7336006165,-117.190002441,17,-8,A,America/Los_Angeles,airport,OurAirports
3532,3732,Monroe Regional Airport,Monroe,United States,MLU,KMLU,32.51089859008789,-92.0376968383789,79,-6,A,America/Chicago,airport,OurAirports
3534,3734,Ontario International Airport,Ontario,United States,ONT,KONT,34.05599975585937,-117.60099792480469,944,-8,A,America/Los_Angeles,airport,OurAirports
3536,3736,Roswell International Air Center Airport,Roswell,United States,ROW,KROW,33.30160140991211,-104.53099822998048,3671,-7,A,America/Denver,airport,OurAirports
3538,3738,Brownsville South Padre Island International Airport,Brownsville,United States,BRO,KBRO,25.90679931640625,-97.4259033203125,22,-6,A,America/Chicago,airport,OurAirports
3539,3739,Dothan Regional Airport,Dothan,United States,DHN,KDHN,31.3213005065918,-85.44960021972656,401,-6,A,America/Chicago,airport,OurAirports
3543,3743,Four Corners Regional Airport,Farmington,United States,FMN,KFMN,36.7411994934,-108.230003357,5506,-7,A,America/Denver,airport,OurAirports
3544,3744,Corpus Christi International Airport,Corpus Christi,United States,CRP,KCRP,27.77039909362793,-97.5011978149414,44,-6,A,America/Chicago,airport,OurAirports
3545,3745,Syracuse Hancock International Airport,Syracuse,United States,SYR,KSYR,43.11119842529297,-76.1063003540039,421,-5,A,America/New_York,airport,OurAirports
3547,3747,Chicago Midway International Airport,Chicago,United States,MDW,KMDW,41.785999,-87.752403,620,-6,A,America/Chicago,airport,OurAirports
3548,3748,Norman Y. Mineta San Jose International Airport,San Jose,United States,SJC,KSJC,37.362598,-121.929001,62,-8,A,America/Los_Angeles,airport,OurAirports
3549,3749,Lea County Regional Airport,Hobbs,United States,HOB,KHOB,32.6875,-103.21700290000001,3661,-7,A,America/Denver,airport,OurAirports
3551,3751,Denver International Airport,Denver,United States,DEN,KDEN,39.861698150635,-104.672996521,5431,-7,A,America/Denver,airport,OurAirports
3552,3752,Philadelphia International Airport,Philadelphia,United States,PHL,KPHL,39.87189865112305,-75.24109649658203,36,-5,A,America/New_York,airport,OurAirports
3553,3753,Sioux Gateway Col. Bud Day Field,Sioux City,United States,SUX,KSUX,42.40259933,-96.38439941,1098,-6,A,America/Chicago,airport,OurAirports
3554,3754,Middle Georgia Regional Airport,Macon,United States,MCN,KMCN,32.692798614501946,-83.64920043945312,354,-5,A,America/New_York,airport,OurAirports
3559,3759,John Glenn Columbus International Airport,Columbus,United States,CMH,KCMH,39.998001,-82.891899,815,-5,A,America/New_York,airport,OurAirports
3564,3764,Edward G. Pitka Sr Airport,Galena,United States,GAL,PAGA,64.73619843,-156.93699650000002,153,-9,A,America/Anchorage,airport,OurAirports
3570,3770,Texarkana Regional Webb Field,Texarkana,United States,TXK,KTXK,33.45370101928711,-93.99099731445312,390,-6,A,America/Chicago,airport,OurAirports
3571,3771,Plattsburgh International Airport,Plattsburgh,United States,PBG,KPBG,44.6509017944336,-73.46810150146484,234,-5,A,America/New_York,airport,OurAirports
3574,3774,Ted Stevens Anchorage International Airport,Anchorage,United States,ANC,PANC,61.174400329589844,-149.99600219726562,152,-9,A,America/Anchorage,airport,OurAirports
3575,3775,Robert Gray  Army Air Field Airport,Killeen,United States,GRK,KGRK,31.067199706999997,-97.8289031982,1015,-6,A,America/Chicago,airport,OurAirports
3577,3777,Bellingham International Airport,Bellingham,United States,BLI,KBLI,48.79280090332031,-122.53800201416016,170,-8,A,America/Los_Angeles,airport,OurAirports
3582,3782,Mobile Regional Airport,Mobile,United States,MOB,KMOB,30.691200256348,-88.242797851562,219,-6,A,America/Chicago,airport,OurAirports
3584,3784,Santa Fe Municipal Airport,Santa Fe,United States,SAF,KSAF,35.617099761999995,-106.08899688700001,6348,-7,A,America/Denver,airport,OurAirports
3590,3790,Scott AFB/Midamerica Airport,Belleville,United States,BLV,KBLV,38.5452,-89.835197,459,-6,A,America/Chicago,airport,OurAirports
3593,3793,Southwest Florida International Airport,Fort Myers,United States,RSW,KRSW,26.53619956970215,-81.75520324707031,30,-5,A,America/New_York,airport,OurAirports
3594,3794,King Salmon Airport,King Salmon,United States,AKN,PAKN,58.67679977,-156.6490021,73,-9,A,America/Anchorage,airport,OurAirports
3596,3796,Kapalua Airport,Lahania-kapalua,United States,JHM,PHJH,20.962900161743164,-156.67300415039062,256,-10,N,Pacific/Honolulu,airport,OurAirports
3597,3797,John F Kennedy International Airport,New York,United States,JFK,KJFK,40.63980103,-73.77890015,13,-5,A,America/New_York,airport,OurAirports
3604,3804,Cheyenne Regional Jerry Olson Field,Cheyenne,United States,CYS,KCYS,41.15570068,-104.81199649999999,6159,-7,A,America/Denver,airport,OurAirports
3605,3805,Stockton Metropolitan Airport,Stockton,United States,SCK,KSCK,37.894199371338,-121.2379989624,33,-8,A,America/Los_Angeles,airport,OurAirports
3606,3806,Charleston Air Force Base-International Airport,Charleston,United States,CHS,KCHS,32.89860153,-80.04049683,46,-5,A,America/New_York,airport,OurAirports
3607,3807,Reno Tahoe International Airport,Reno,United States,RNO,KRNO,39.49909973144531,-119.76799774169922,4415,-8,A,America/Los_Angeles,airport,OurAirports
3608,3808,Ketchikan International Airport,Ketchikan,United States,KTN,PAKT,55.35559845,-131.7140045,89,-9,A,America/Anchorage,airport,OurAirports
3611,3811,Birmingham-Shuttlesworth International Airport,Birmingham,United States,BHM,KBHM,33.56290054,-86.75350189,650,-6,A,America/Chicago,airport,OurAirports
3616,3816,Modesto City Co-Harry Sham Field,Modesto,United States,MOD,KMOD,37.62580109,-120.9540024,97,-8,A,America/Los_Angeles,airport,OurAirports
3617,3817,Sacramento International Airport,Sacramento,United States,SMF,KSMF,38.69540023803711,-121.59100341796876,27,-8,A,America/Los_Angeles,airport,OurAirports
3619,3819,City of Colorado Springs Municipal Airport,Colorado Springs,United States,COS,KCOS,38.805801,-104.70099599999999,6187,-7,A,America/Denver,airport,OurAirports
3620,3820,Buffalo Niagara International Airport,Buffalo,United States,BUF,KBUF,42.94049835,-78.73220062,728,-5,A,America/New_York,airport,OurAirports
3624,3824,Cedar City Regional Airport,Cedar City,United States,CDC,KCDC,37.70100021362305,-113.0989990234375,5622,-7,A,America/Denver,airport,OurAirports
3625,3825,Bradley International Airport,Windsor Locks,United States,BDL,KBDL,41.9388999939,-72.68319702149999,173,-5,A,America/New_York,airport,OurAirports
3626,3826,Mc Allen Miller International Airport,Mcallen,United States,MFE,KMFE,26.17580032,-98.23860168,107,-6,A,America/Chicago,airport,OurAirports
3629,3829,Lubbock Preston Smith International Airport,Lubbock,United States,LBB,KLBB,33.663601,-101.822998,3282,-6,A,America/Chicago,airport,OurAirports
3630,3830,Chicago O'Hare International Airport,Chicago,United States,ORD,KORD,41.9786,-87.9048,672,-6,A,America/Chicago,airport,OurAirports
3632,3832,Fairbanks International Airport,Fairbanks,United States,FAI,PAFA,64.81510162,-147.85600280000003,439,-9,A,America/Anchorage,airport,OurAirports
3638,3838,Watertown International Airport,Watertown,United States,ART,KART,43.99190139770508,-76.02169799804688,325,-5,A,America/New_York,airport,OurAirports
3639,3839,Palm Springs International Airport,Palm Springs,United States,PSP,KPSP,33.829700469970696,-116.50700378417969,477,-8,A,America/Los_Angeles,airport,OurAirports
3640,3840,Rick Husband Amarillo International Airport,Amarillo,United States,AMA,KAMA,35.219398,-101.706001,3607,-6,A,America/Chicago,airport,OurAirports
3643,3843,Topeka Regional Airport - Forbes Field,Topeka,United States,FOE,KFOE,38.9509010315,-95.6635971069,1078,-6,A,America/Chicago,airport,OurAirports
3645,3845,Wilmington International Airport,Wilmington,United States,ILM,KILM,34.27059936523437,-77.90260314941406,32,-5,A,America/New_York,airport,OurAirports
3646,3846,Baton Rouge Metropolitan Airport,Baton Rouge,United States,BTR,KBTR,30.533199,-91.149597,70,-6,A,America/Chicago,airport,OurAirports
3648,3848,Tyler Pounds Regional Airport,Tyler,United States,TYR,KTYR,32.35409927368164,-95.40239715576172,544,-6,A,America/Chicago,airport,OurAirports
3649,3849,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,United States,BWI,KBWI,39.1754,-76.668297,146,-5,A,America/New_York,airport,OurAirports
3651,3851,Lanai Airport,Lanai,United States,LNY,PHNY,20.785600662231445,-156.9510040283203,1308,-10,N,Pacific/Honolulu,airport,OurAirports
3652,3852,Alexandria International Airport,Alexandria,United States,AEX,KAEX,31.32740020751953,-92.54979705810548,89,-6,A,America/Chicago,airport,OurAirports
3654,3854,Cold Bay Airport,Cold Bay,United States,CDB,PACD,55.20610046386719,-162.72500610351562,96,-9,A,America/Anchorage,airport,OurAirports
3655,3855,Tulsa International Airport,Tulsa,United States,TUL,KTUL,36.19839859008789,-95.88809967041016,677,-6,A,America/Chicago,airport,OurAirports
3656,3856,Sitka Rocky Gutierrez Airport,Sitka,United States,SIT,PASI,57.04710006713867,-135.36199951171878,21,-9,A,America/Anchorage,airport,OurAirports
3657,3857,Long Island Mac Arthur Airport,Islip,United States,ISP,KISP,40.79520035,-73.10019684,99,-5,A,America/New_York,airport,OurAirports
3658,3858,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,United States,MSP,KMSP,44.882,-93.221802,841,-6,A,America/Chicago,airport,OurAirports
3659,3859,New Castle Airport,Wilmington,United States,ILG,KILG,39.67869949,-75.60649872,80,-5,A,America/New_York,airport,OurAirports
3660,3860,Unalaska Airport,Unalaska,United States,DUT,PADU,53.900100708000004,-166.54400634799998,22,-9,A,America/Anchorage,airport,OurAirports
3661,3861,Louis Armstrong New Orleans International Airport,New Orleans,United States,MSY,KMSY,29.99340057373047,-90.25800323486328,4,-6,A,America/Chicago,airport,OurAirports
3662,3862,Portland International Jetport Airport,Portland,United States,PWM,KPWM,43.64619827,-70.30930328,76,-5,A,America/New_York,airport,OurAirports
3663,3863,Will Rogers World Airport,Oklahoma City,United States,OKC,KOKC,35.39310073852539,-97.60070037841795,1295,-6,A,America/Chicago,airport,OurAirports
3664,3864,Albany International Airport,Albany,United States,ALB,KALB,42.74829864501953,-73.80169677734375,285,-5,A,America/New_York,airport,OurAirports
3665,3865,Valdez Pioneer Field,Valdez,United States,VDZ,PAVD,61.13389969,-146.24800109999998,121,-9,A,America/Anchorage,airport,OurAirports
